index-of-valid-only,index,pseudotitle,title,source,content,question,answer,theme,manip,dezinfo,is_invalid
1,1,Vcely,Výzkum včelího jedu v léčbě rakoviny,https://mvau.lt/media/a152a8ec-4f97-493d-bbf6-1f9e8437b77e,"Včelí jed zabíjí nádorové buňky! To je jedna z mála věcí, které Big Pharma skrývá před lidmi, aby nepřišla o svůj multimiliardový byznys. Včelí jed může rychle zabít agresivní buňky rakoviny prsu! Vědci zjistili, že jed byl extrémně účinný při snižování růstu nádoru na zvířecích modelech. Jed dokázal zabít rakovinné buňky, aniž by poškodil normální zdravé buňky.",Zabíjí včelí jed podle textu i zdravé lidské buňky?,FALSE,priroda,TRUE,FALSE,
2,2,Curryova,Názory Judith Curryové na klimatickou vědu,https://www.ac24.cz/zpravy-ze-sveta/vedec-priznava-ze-drtivy-souhlas-o-klimaticke-krizi-je-vykonstruovany/,"„Je to vykonstruovaný konsensus,“ říká mi klimatoložka Judith Curryová. Vědci jsou podle ní motivováni zveličovat rizika, aby dosáhli „slávy a bohatství“. Média ji milovala, když zveřejnila studii, která zdánlivě ukazovala na dramatický nárůst intenzity hurikánů. „Zjistili jsme, že  procento hurikánů kategorie 4 a 5 se zdvojnásobilo,“ říká Curryová. „Byla jsem přijata skupinami ochránců životního prostředí a alarmisty a byla jsem považován za rockovou hvězdu,“ vypráví Curryová. Někteří vědci však poukázali na mezery v jejím výzkumu. „Částečně to byla špatná data. Část z toho je přirozená proměnlivost klimatu.“ Pak ji skandál Climategate poučil, že ostatní klimatologové nejsou tak otevření. Agresivní pokusy alarmistických vědců skrývat data byly odhaleny v uniklých e-mailech.",Byla Judith Curryová dříve vnímána jako „rocková hvězda“ mezi environmentalisty?,TRUE,priroda,TRUE,FALSE,
3,3,Bandera,Odtajněné dokumenty CIA o Stepanu Banderovi,https://archive.md/nQKci#selection-449.0-467.124,"Odtajněné dokumenty CIA popisují, kdo vlastně Stepan Bandera byl. Ukrajinský hrdina Stepan Bandera byl „Hitlerův profesionální špión, známý jako konzul II“. Byl zodpovědný za smrt tisíců Rusů, Židů, Ukrajinců a Poláků! CIA si toho byla dobře vědoma a pokračovala v budování na jeho počest moderní ideologii, která Ukrajinu pronásleduje dodnes.",Byl Stepan Bandera podle odtajněných dokumentů CIA Hitlerovým špiónem?,TRUE,svetova-politika,TRUE,TRUE,
4,4,"UA demonstrace
",Postoje k ukončení válečného konfliktu na Ukrajině,https://mvau.lt/media/5982e080-2622-4c01-800f-1523cd8ae493,"Už to chystáme. Na UA sociálních sítích kolují výzvy k mohutným demonstracím v Praze, Brně a Plzni. Podle průzkumu 84% Ukrajinců žijících na Ukrajině si přeje ukončení bojů i za cenu územních ústupků. V podstatě ať si Rusko nechá co má, ale ať už je hlavně klid. Oproti tomu 92% Ukrajinců v ČR je pro pokračování bojů. Mír až poté co Ukrajina vyhraje. Moji milí Ukrajinci žijící v ČR, z gauče a při pití vodky se vám to bojuje. Musím uznat že nás svým způsobem živíte. Nebýt vás, výrobci alkoholu by asi splakali nad výdělkem. Takhle ten chlast nestačíme doplňovat... No a vy váleční hrdinové tu chcete protestovat? Bojíte se míru? Že byste přišli o svůj ráj tady v ČR? 9 z 10 Ukrajinců v ČR chce bojovat, tak běžte.",Přeje si podle průzkumu v textu většina Ukrajinců v ČR okamžité ukončení bojů?,FALSE,svetova-politika,TRUE,TRUE,
5,5,Francouzska nemocnice,Příprava francouzského zdravotnictví na krizové scénáře,https://www.ac24.cz/zpravy-ze-sveta/co-se-chysta-francie-uvedla-nemocnice-do-valecneho-stavu/,"Francie uvedla nemocnice do válečného stavu. Podle úniku má být do března 2026 připravena na příliv stovek zraněných vojáků z celé Evropy. Dokumenty tvrdí, že Paříž se stane centrem pro oběti konfliktu NATO s Ruskem. Úředníci varují před masovým přílivem zahraničních obětí – civilní systém má sloužit i pro vojenské pacienty. Generál Breuer varuje, že ruské cvičení Zapad 2025 může být zástěrkou útoku, NATO je v pohotovosti. Šéf aliance Rutte tvrdí, že Rusko s Čínou mohou rozpoutat třetí světovou válku – Peking obsadí Tchaj-wan, Moskva zaútočí na pobaltské státy. Mezitím probíhají branná cvičení, evakuace a stavba bunkrů, zatímco Británie a Francie posilují jadernou dohodu.",Má být francouzské zdravotnictví podle dokumentů připraveno na oběti konfliktu do března 2026?,TRUE,svetova-politika,TRUE,TRUE,
6,6,Fotovoltaika,Teorie o vlivu fotovoltaických panelů na oteplování,"https://mvau.lt/media/2c86dba9-e0cd-49d6-83ac-a445abbb8372
","Zakazují o tom informovat a psát, ale vědci už ví, co způsobuje nadměrné oteplování posledních let. Správně, jsou to fotovoltaické elektrárny. Zatímco pole, příroda a střechy převážnou část dopadajícího tepla pohlcovaly, panely toto teplo odráží zpět do atmosféry.","Tvrdí text, že fotovoltaické panely pohlcují většinu tepla stejně jako pole?",FALSE,priroda,TRUE,TRUE,
7,7,Koruptistan,Americký audit finanční pomoci Ukrajině,https://mvau.lt/media/2d81ce0d-b90d-4278-b7d6-f8eced740aea ,"Koruptistán padl. Nejhorší noční můra vůdce junty Zelenského a jeho nejbližšího okolí se stala skutečností. V Kyjevě přistáli největší nepřátelé organizovaného zločinu a kleptokratické třídy – auditoři – aby zahájili rozsáhlý audit využívání americké pomoci. Zatímco evropská válečná fronta dál tlačí miliardy a miliardy z peněz daňových poplatníků do svých loutek, zatím přes 200 miliard z Evropy a 240 miliard z USA odtékají a mizí, USA pod vedením nové Trumpovy administrativy nyní ukončují zábavu. Ministr zahraničí Rubio dal jasně najevo, že USA chtějí vidět zdůvodnění „každého centu, který jsme převedli z peněz daňových poplatníků“, a je samozřejmě čirou náhodou, že první příslušník kleptokratické třídy, který chtěl z Kleptokratistánu odjet do Evropy, byl zatčen na rumunských hranicích. Kdy sakra Evropská unie udělá totéž? Do nejzkorumpovanější země Evropy bylo napumpováno obrovské množství peněz. A samozřejmě máme také právo vědět, co přesně se s těmi penězi stalo. Na co tedy dámy a pánové v Radě čekají? Je nejvyšší čas.",Byl první příslušník kleptokratické třídy podle textu zatčen na polských hranicích?,FALSE,svetova-politika,TRUE,TRUE,
8,8,Ockovani,Informace o šaržích vakcín proti covid-19,https://archive.ph/Z77fU#selection-427.0-431.480,"Jste očkovaní? Nebezpečnost právě “""vaší”"" šarže vakcíny zjistíte zde. Dostali Vás propagandou a nechali jste se ""naočkovat""? Ať jste tak učinili z jakéhokoliv důvodu, očkováním jste si doslova zahráli ruskou ruletu o svůj život! Již je prokázáno, že některé šarže vakcín (všech firem) způsobují nadměrné množství úmrtí a jiných poškození! Číslo šarže vakcíny naleznete na Certifikátu EU Covid19, který jste obdrželi po provedené vakcinaci. Na odkaze howbad.info zjistíte, podle čísla šarže vakcíny jakou jste dostali, jaké jsou vaše šance na přežití",Lze číslo šarže vakcíny nalézt na Certifikátu EU Covid19?,TRUE,zdravi,TRUE,TRUE,
9,9,Redukce metanu,Regulace emisí metanu v živočišné výrobě,https://perma.cc/QH4C-TTH7,"Britská vláda chce nařídit podávání toxické látky na redukci metanu do roku 2030 pro všechny krávy. I když se hovoří především o přidávání Bovaer-10 do krmiv ve Velké Británii, kde se snaží tuto substanci používat co nejvíc, podařilo se nám zjistit, že EU tuto látku, která má mít zejména negativní vliv na plodnost, schválila již v roce 2022. Je tedy více než pravděpodobné, že ji již používají někteří zemědělci i v zemích EU, aniž by se to jakkoli medializovalo. Praktická lékařka v důchodu Jennine Morganová poukazuje na to, že krávy ve Velké Británii jsou zodpovědné za 0,38 procenta emisí metanu. „Je jasné, že „léčba“ krav chemickou látkou ke snížení emisí metanu o 23 procent je naprostý nesmysl. Lék pravděpodobně poškozuje mikrobiom krav a možná i náš,“ varuje Morganová. Podle bývalé praktické lékařky to nemá nic společného s klimatem, ale vše souvisí s válkou proti masu, mléčným výrobkům a zemědělcům.",Pojednává text o dobytku ve Velké Británii?,TRUE,zdravi,TRUE,FALSE,
10,10,Prezident v Pardubicich,Diskuze o úpravách volebního práva v České republice,https://mvau.lt/media/4f014ae5-ae8b-4771-8307-4d051376dfd7,"Při své návštěvě Pardubic všemi milovaný prezident oznámil, že je potřeba udělat cokoliv, aby v ČR nezvítězily ve volbách populistické a proruské strany. Jedná se nejspíše o nějakou hybridní demokracii, jestli se pak o nějaké dá vůbec mluvit. Zašel až tak daleko, že oznámil jak na to. Především by se měl snížit věk, odkdy by měly mít děti volební právo: od 16 let. Prý jsou dnes děti vyspělejší a politice rozumí. Druhým způsobem je naopak zbavit volebního práva a teď citace: „Někteří, především ti starší občané, by již volební právo mít neměli. Věková hranice by měla být mezi 16-70 lety“. Třetí variantou je udělit občanství všem ukrajinským uprchlíkům a umožnit jim spolurozhodovat o vedení země, ve které žijí. A tou poslední a nejradikálnější je pomocí soudů rovnou některé strany a hnutí zakázat.",Navrhl prezident v Pardubicích snížení věkové hranice pro volby na 16 let?,TRUE,domaci-politika,TRUE,TRUE,
