Polozka,1,2,3,4,5,6,7,8,9,10,11
,,index,pseudotitle,title,source,content,question,answer,theme,manip,dezinfo
9,9,13,SPD,Rozhodnutí soudu ve věci zprávy o extremismu,https://ct24.ceskatelevize.cz/clanek/domaci/souhrn-zasadni-udalosti-ctvrtka-16-rijna-366154,"Ministerstvo vnitra porušilo práva hnutí SPD, když ho zařadilo do zprávy o extremismu za druhé pololetí roku 2020. Pravomocně to potvrdil odvolací Městský soud v Praze. Omluvu soud hnutí nepřiznal. Žaloba se ale týká jen jedné konkrétní zprávy, SPD podalo kvůli zařazení do několika zpráv o extremismu z různých let více žalob. Obvodní soud pro Prahu 7 jednu z nich nepravomocně zamítl.",Přiznal soud hnutí SPD omluvu za zařazení do zprávy o extremismu?,FALSE,domaci-politika,FALSE,FALSE
7,7,10,Prezident v Pardubicich,Diskuze o úpravách volebního práva v České republice,https://mvau.lt/media/4f014ae5-ae8b-4771-8307-4d051376dfd7,"Při své návštěvě Pardubic všemi milovaný prezident oznámil, že je potřeba udělat cokoliv, aby v ČR nezvítězily ve volbách populistické a proruské strany. Jedná se nejspíše o nějakou hybridní demokracii, jestli se pak o nějaké dá vůbec mluvit. Zašel až tak daleko, že oznámil jak na to. Především by se měl snížit věk, odkdy by měly mít děti volební právo: od 16 let. Prý jsou dnes děti vyspělejší a politice rozumí. Druhým způsobem je naopak zbavit volebního práva a teď citace: „Někteří, především ti starší občané, by již volební právo mít neměli. Věková hranice by měla být mezi 16-70 lety“. Třetí variantou je udělit občanství všem ukrajinským uprchlíkům a umožnit jim spolurozhodovat o vedení země, ve které žijí. A tou poslední a nejradikálnější je pomocí soudů rovnou některé strany a hnutí zakázat.",Navrhl prezident v Pardubicích snížení věkové hranice pro volby na 16 let?,TRUE,domaci-politika,TRUE,TRUE
6,6,9,Redukce metanu,Regulace emisí metanu v živočišné výrobě,https://perma.cc/QH4C-TTH7,"Britská vláda chce nařídit podávání toxické látky na redukci metanu do roku 2030 pro všechny krávy. I když se hovoří především o přidávání Bovaer-10 do krmiv ve Velké Británii, kde se snaží tuto substanci používat co nejvíc, podařilo se nám zjistit, že EU tuto látku, která má mít zejména negativní vliv na plodnost, schválila již v roce 2022. Je tedy více než pravděpodobné, že ji již používají někteří zemědělci i v zemích EU, aniž by se to jakkoli medializovalo. Praktická lékařka v důchodu Jennine Morganová poukazuje na to, že krávy ve Velké Británii jsou zodpovědné za 0,38 procenta emisí metanu. „Je jasné, že „léčba“ krav chemickou látkou ke snížení emisí metanu o 23 procent je naprostý nesmysl. Lék pravděpodobně poškozuje mikrobiom krav a možná i náš,“ varuje Morganová. Podle bývalé praktické lékařky to nemá nic společného s klimatem, ale vše souvisí s válkou proti masu, mléčným výrobkům a zemědělcům.",Pojednává text o dobytku ve Velké Británii?,TRUE,zdravi,TRUE,FALSE
33,33,41,Doba ledova,Změny v terminologii klimatické debaty,https://necenzurovanapravda.cz/2025/06/klimaticti-alarmiste-zrejme-meni-smer-namisto-globalniho-oteplovani-varuji-pred-dobou-ledovou/,"Možná jste si všimli, že v posledních letech klimatičtí propagandisté spíše než o „globálním oteplování“ hovořili o „klimatické změně.“ To samo o sobě vyvolávalo podezření, že se chystají změny v již hroutící se propagandě. V poslední době se objevil bezpočet vědeckých důkazů, které potvrzují, že celá oteplovačská agenda je jeden velký podvod, zatímco klimaalarmisté dosud nedodali jediný vědecký důkaz jejich tvrzení. I když se stále najde dostatek jednodušších lidí, kterým stačí propaganda bez vědeckých důkazů, přesto počet těchto zmanipulovaných tvorů ubývá, neboť mimo nedostatku důkazů přibývá i počet klimaalarmistických předpovědí, které se nesplnily.",Používali dříve „klimatičtí propagandisté“ častěji termín globální oteplování?,FALSE,priroda,TRUE,TRUE
1,1,1,Vcely,Výzkum včelího jedu v léčbě rakoviny,https://mvau.lt/media/a152a8ec-4f97-493d-bbf6-1f9e8437b77e,"Včelí jed zabíjí nádorové buňky! To je jedna z věcí, které Big Pharma skrývá před lidmi, aby nepřišla o svůj multimiliardový byznys. Včelí jed může rychle zabít agresivní buňky rakoviny prsu! Vědci zjistili, že jed byl extrémně účinný při snižování růstu nádoru na zvířecích modelech. Jed dokázal zabít rakovinné buňky, aniž by poškodil normální zdravé buňky.",Zabíjí včelí jed podle textu i zdravé lidské buňky?,FALSE,priroda,TRUE,FALSE
40,40,54,Chemtrails nad Brnem,Zprávy o přeletech letadel nad Brnem,https://cz24.news/tohle-uz-prekracuje-vsechny-meze-nad-brnem-v-utery-probihalo-na-nebi-tak-mohutne-praskovani-pomoci-chemtrails-ze-se-lide-pri-ceste-do-prace-zastavovali-a-fotili-si-to/,"Nad prostorem Brna v úterý opět docházelo k mohutnému a dosud nevídanému práškování z letadel za pomoci chemtrails. Situace byla opravdu alarmující, protože o této události nás do redakce informoval i jeden z brněnských zastupitelů, který kvůli tomu zastavil při cestě do města a pořídil několik fotografií.
V úterý nad Brnem se totiž dělo něco, co normálně je k vidění obvykle jen v USA nad městy na Středozápadě. Svědci zaznamenali mohutné a systémové cik cak práškování a pokládaní chemtrailového koberce. Nad Brnem v úterý probíhalo tak intenzivní pokládání modifikační deky nad město, že se z toho úplně tají dech.",Bylo práškování chemtrails nad Brnem podle redakce hlášeno jako alarmující?,TRUE,priroda,TRUE,TRUE
16,16,22,Kvalita ovzdusi,Zpráva o stavu životního prostředí v ČR za rok 2023,https://ct24.ceskatelevize.cz/clanek/veda/lepsi-voda-i-vzduch-rizikem-je-zmena-klimatu-rika-zprava-o-zivotnim-prostredi-ceska-355344,"Kvalita ovzduší a vody v Česku se loni dále zlepšovala, ubývá ale stále orné půdy a ptáků. Vyplývá to ze Zprávy o životním prostředí ČR za rok 2023, jejíž výsledky zveřejnilo ministerstvo životního prostředí. Krajina v zemi čelí rizikům spojeným se změnou klimatu, což podle úřadu dokládají častější extrémní projevy počasí, například povodně. Odklon od fosilních zdrojů energie k obnovitelným brzdí kolísání cen a dostupnost energie, třeba doprava je nadále závislá především na fosilních palivech, uvedlo ministerstvo.","Uvádí zpráva ministerstva, že loni v Česku přibylo orné půdy a ptáků?",FALSE,priroda,FALSE,FALSE
18,18,25,Protest proti Putinovi,Protiválečná demonstrace v Petrohradu,https://www.irozhlas.cz/zpravy-svet/lide-v-petrohrade-protestovali-proti-putinovi-zpevacku-zakazane-pisne-ceka-13_2510171808_elev,"Desítky lidí se shromáždily na náměstí v Petrohradu na demonstraci proti ruskému prezidentovi Vladimiru Putinovi. Dav zpíval protiválečné skladby, včetně zakázané písně od ruského rappera Noize MC. Podle regionálního zpravodajského webu Fontanka policisté z protestu odvezli ruskou zpěvačku Naoko a obvinili ji z hraní protirežimních skladeb, informuje The Independent. Rádio Svobodná Evropa na svém účtu na síti X uvádí, že zpěvačka si už vyslechla trest 13 dnů ve vězení.",Zpíval dav v Petrohradu protiválečnou píseň od ruského rappera Noize MC?,TRUE,svetova-politika,FALSE,FALSE
25,25,33,Nedostatek zachranaru,Nedostatek personálu ve zdravotnické záchranné službě,https://ct24.ceskatelevize.cz/clanek/domaci/kraje-trapi-nedostatek-zdravotnickych-zachranaru-366484,"Kraje se potýkají s nedostatkem zdravotnických záchranářů – chybí především lékaři a operátoři. Mohou za to vyšší požadavky na kvalifikaci, ale také odchody do penze. Většina doktorů u záchranky je totiž v důchodovém věku. A absolventi dávají po povinné praxi obvykle přednost práci v nemocnicích. Výjezdů neustále přibývá, část neakutních případů se přitom dá řešit například radou po telefonu.",Chybí krajským záchrankám především řidiči a technici?,FALSE,zdravi,TRUE,FALSE
